City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,70.39,93,94,10.09,US,1675831130
1,busselton,-33.65,115.3333,82.53,44,0,8.59,AU,1675831130
2,caravelas,-17.7125,-39.2481,75.63,85,42,6.17,BR,1675831131
3,belaya gora,68.5333,146.4167,-43.82,99,75,3.24,RU,1675831131
4,angoram,-4.0625,144.0661,82.36,85,99,6.62,PG,1675831131
5,bluff,-46.6,168.3333,53.42,67,57,27.16,NZ,1675831132
6,kodiak,57.79,-152.4072,22.51,63,0,17.27,US,1675831034
7,klaksvik,62.2266,-6.589,45.5,85,100,57.27,FO,1675831132
8,samarai,-10.6167,150.6667,81.16,82,100,17.65,PG,1675831133
9,georgetown,5.4112,100.3354,85.95,66,20,6.91,MY,1675830845
10,tuktoyaktuk,69.4541,-133.0374,-22.0,69,100,3.44,CA,1675831031
11,punta arenas,-53.15,-70.9167,55.51,71,0,14.97,CL,1675831025
12,ushuaia,-54.8,-68.3,51.46,71,40,3.44,AR,1675831011
13,imeni babushkina,59.7573,43.1285,18.57,92,100,9.24,RU,1675831133
14,ancud,-41.8697,-73.8203,55.09,94,1,3.67,CL,1675831134
15,siniscola,40.5719,9.6922,47.75,67,99,8.1,IT,1675831134
16,altamira,-3.2033,-52.2064,72.0,99,99,2.57,BR,1675831135
17,albany,42.6001,-73.9662,33.35,78,84,3.74,US,1675830940
18,yar-sale,66.8333,70.8333,7.84,85,100,24.16,RU,1675831135
19,hermanus,-34.4187,19.2345,65.8,82,0,13.13,ZA,1675830967
20,chokurdakh,70.6333,147.9167,-34.24,99,100,4.07,RU,1675831018
21,namie,37.4833,141.0,45.01,61,90,7.52,JP,1675831136
22,port alfred,-33.5906,26.891,69.19,89,100,4.0,ZA,1675831022
23,yellowknife,62.456,-114.3525,-3.48,84,100,6.91,CA,1675831052
24,de-kastri,51.4667,140.7833,-0.13,87,100,4.79,RU,1675831136
25,marsh harbour,26.5412,-77.0636,71.58,63,0,17.56,BS,1675830958
26,asau,46.4333,26.4,22.12,96,99,5.12,RO,1675831137
27,beloha,-25.1667,45.05,76.6,67,100,7.38,MG,1675831049
